AGE1,REGION,WEIGHT,BEDRMS,BUILT,VALUE,VACANCY,NUNITS,ROOMS,UTILITY,FMTSTRUCTURETYPE
34,4',191.7470581,4,2002,720000,-6,1,8,300,1 Single Family'
43,4',189.6714044,3,2002,550000,-6,1,5,256,1 Single Family'
60,4',171.5554818,5,2001,720000,-6,1,11,233,1 Single Family'
37,4',189.6714044,3,2001,450000,-6,1,5,152,1 Single Family'
33,4',134.8758323,4,1995,700000,-6,1,9,656.1666667,1 Single Family'
42,4',134.9591634,1,2003,-6,-6,15,3,59,3 5-19 units'
45,4',181.882954,3,2002,740000,-6,1,6,412.6666667,1 Single Family'
35,4',189.6714044,3,2003,550000,-6,1,7,331.6666667,1 Single Family'
50,4',181.882954,5,2003,1300000,-6,1,9,392.8333333,1 Single Family'
38,4',189.6714044,5,2003,1500000,-6,1,10,772.6666667,1 Single Family'
72,4',192.990499,3,2003,103000,-6,1,6,174,1 Single Family'
-9,4',93.15988959,1,2005,-6,1,15,3,0,3 5-19 units'
-9,4',124.6129681,2,2004,460000,3,1,4,772.6666667,1 Single Family'
33,4',147.0249088,1,2003,190000,-6,463,3,60.5,5 50+ units'
43,4',127.0247489,4,1995,699000,-6,1,8,322,1 Single Family'
80,4',162.7865652,2,1995,-6,-6,50,5,92,5 50+ units'
32,4',135.0975604,1,1995,-6,-6,1,3,63,1 Single Family'
53,4',164.7553126,4,2003,750000,-6,1,8,358,1 Single Family'
49,4',140.7703128,1,2005,-6,-6,25,3,20,4 20-49 units'
36,4',183.4460352,3,2003,-6,-6,1,8,185,1 Single Family'
40,4',121.2451059,2,2002,-6,-6,6,4,90.08333333,3 5-19 units'
41,4',177.4215663,4,2003,870000,-6,1,9,370.6666667,1 Single Family'
60,4',226.1751848,5,2003,870000,-6,1,9,263.6666667,1 Single Family'
64,4',234.4241027,3,2005,4414135,-6,1,8,801.8333333,1 Single Family'
86,4',140.889684,1,2002,190000,-6,9,3,65,3 5-19 units'
-9,4',84.14097519,1,2003,-6,1,36,4,90.08333333,4 20-49 units'
32,4',135.9607213,2,2000,-6,-6,46,4,135.5,4 20-49 units'
33,4',137.6293277,1,2006,-6,-6,24,3,100,4 20-49 units'
78,4',238.4099961,0,2003,-6,-6,1,1,0,1 Single Family'
39,4',133.9218981,2,2001,-6,-6,30,4,225.3333333,4 20-49 units'
46,4',194.7579841,2,2003,350000,-6,1,6,148.3333333,1 Single Family'
54,4',170.7641639,5,2005,1000000,-6,1,8,378.6666667,1 Single Family'
